,feature_1,feature_2,feature_3,feature_4,feature_5
0,"Lyme Patients Are Bending The Old Rules Of Scientific Research, To The Dismay Of Some Scientists - BuzzFeed News",,web.archive.org,404,10000
1,Don't Open That Suspicious Google Doc You Just Got - BuzzFeed News,,web.archive.org,404,10001
2,Here’s What The White House Will Do With Everything Obama Tweeted - BuzzFeed News,,web.archive.org,404,10002
3,"Goldman Sachs Says The Immigration Ban Is ""Not A Policy We Support"" - BuzzFeed News",,web.archive.org,404,10003
4,NASA Might Ship Astronauts Around The Moon And Nobody Quite Knows Why - BuzzFeed News,,web.archive.org,404,10004
5,The Man Who Taught Donald Trump To Pit Gay People Against Immigrants - BuzzFeed News,,web.archive.org,404,10005
6,This Bus Got Vandalized Real Quick After Starting A Road Trip To Oppose Transgender Rights - BuzzFeed News,,web.archive.org,404,10006
7,27 Of The Most Insane Pictures Ever Taken At The Kentucky Derby - BuzzFeed News,,web.archive.org,404,10007
8,Pregnant Women With Herpes May Be More Likely To Have Kids With Autism - BuzzFeed News,,web.archive.org,404,10008
9,Chipotle Says Its Payment System May Have Been Hacked - BuzzFeed News,,web.archive.org,404,10009
10,We Reviewed 28 Of The Alleged Hateful Incidents After Trump’s Win. Here’s What We Found - BuzzFeed News,,web.archive.org,404,10010
11,More Than 200 People Arrested At Trump Inauguration Protests - BuzzFeed News,,web.archive.org,404,10011
12,"People Are Relating Hard To A Speedy Cashier ""Tryna Clock Out"" - BuzzFeed News",,web.archive.org,404,10012
13,Here’s What Trump’s Supreme Court Nominee Wrote About Excessive Force By Police - BuzzFeed News,,web.archive.org,404,10013
14,Bomb Threats Were Directed At Jewish Centers In 17 States In Just One Day - BuzzFeed News,,web.archive.org,404,10014
15,"A Lot Of US Smog Has Actually Floated Over From Asia, Scientists Say - BuzzFeed News",,web.archive.org,404,10015
16,Apple Is Fighting Laws That Make It Easier To Repair Your iPhone - BuzzFeed News,,web.archive.org,404,10016
17,"Hundreds Of Thousands Of Workers Will Strike May 1, Organizers Say - BuzzFeed News",,web.archive.org,404,10017
18,Here's Why The Feds Banned Two States' Death Penalty Drugs - BuzzFeed News,,web.archive.org,404,10018
19,A Data Team Tied To Trump's Campaign Has A Pretty Unusual Past - BuzzFeed News,,web.archive.org,404,10019
20,This Stunning Photo Series Is Highlighting The Experiences Of LGBT African Immigrants,,web.archive.org,404,10020
21,Tesla Is Recalling Two-Thirds Of The Cars It Made In 2016 - BuzzFeed News,,web.archive.org,404,10021
22,Trump Has A Red Button On The Oval Office Desk To Order A Coke - BuzzFeed News,,web.archive.org,404,10022
23,If You Get 3/7 On This Quiz You're Getting Sucker Punched By Fake News - BuzzFeed News,,web.archive.org,404,10023
24,"As Trump Was Being Inaugurated, Walmart Began A Round Of Corporate Layoffs - BuzzFeed News",,web.archive.org,404,10024
25,"Students Are Outraged A White Nationalist Was To Speak At Auburn, Where A ""White Student Union"" Has Also Formed - BuzzFeed News",,web.archive.org,404,10025
26,"Betsy DeVos's Brother, The Founder Of Blackwater, Is Setting Up A Private Army For China, Sources Say - BuzzFeed News",,web.archive.org,404,10026
27,This Pregnant Lesbian YouTuber Shut Down Hateful Comments With One Instagram Post - BuzzFeed News,,web.archive.org,404,10027
28,The Trump Administration’s Climate Denial Could Be Catastrophic For Tribes - BuzzFeed News,,web.archive.org,404,10028
29,Antarctic Sea Ice Has Hit Its All-Time Low - BuzzFeed News,,web.archive.org,404,10029
30,"What We Can Learn From The Activism Of ""When We Rise""",,web.archive.org,404,10030
31,At Least 34 People Were Killed When A Bus Crashed Into A Parade In Haiti - BuzzFeed News,,web.archive.org,404,10031
32,Facebook Marketplace Kinda Sucks - BuzzFeed News,,web.archive.org,404,10032
33,The Color You See “The Dress” Might Depend On When You Wake Up - BuzzFeed News,,web.archive.org,404,10033
34,Republicans Just Barely Won The First Post-Trump Congressional Election - BuzzFeed News,,web.archive.org,404,10034
35,This Nest Of Dirty Needles Has Become A Symbol Of Vancouver's Opioid Crisis - BuzzFeed News,,web.archive.org,404,10035
36,We Asked 10 Scientists What They're Most Scared Of In 2017,,web.archive.org,404,10036
37,Uber Women To CEO Travis Kalanick: We Have A Systemic Problem - BuzzFeed News,,web.archive.org,404,10037
38,Activists Are Launching A National Effort To Stop Rape Kits From Going In The Trash - BuzzFeed News,,web.archive.org,404,10038
39,These Federal Agencies Agreed To Conceal Some Of Their Communications From The Public - BuzzFeed News,,web.archive.org,404,10039
40,This Group Is Trying To Replace The Most Anti-Science Members of Congress With Actual Scientists - BuzzFeed News,,web.archive.org,404,10040
41,A Bunch Of North Koreans Got Sanctioned And The US Hopes Other Countries Get The Hint - BuzzFeed News,,web.archive.org,404,10041
42,"The Pentagon Is Investigating Michael Flynn, Who Was Warned To Report Russian Payments - BuzzFeed News",,web.archive.org,404,10042
43,Parents Will Get Refunds For Amazon Purchases Their Kids Made - BuzzFeed News,,web.archive.org,404,10043
44,This Is The Inside Of Trump’s Lawyer’s Passport - BuzzFeed News,,web.archive.org,404,10044
45,Your Grandpa Is Hardcore And Drinks More Coffee Than You - BuzzFeed News,,web.archive.org,404,10045
46,"The One Thing You Definitely Didn't Notice On ""The Golden Girls""",,web.archive.org,404,10046
47,Putin Is Using Spy Tactics To Split NATO From The Inside - BuzzFeed News,,web.archive.org,404,10047
48,This Was A Record Low Winter For Arctic Sea Ice - BuzzFeed News,,web.archive.org,404,10048
49,People Are Getting Emotional Over This Teen's Story About Not Being Able To Bring Her Girlfriend To Prom - BuzzFeed News,,web.archive.org,404,10049
50,"White House On Mike Flynn's Bid For Immunity In Russia Investigation: ""Do What You Have To"" - BuzzFeed News",,web.archive.org,404,10050
51,"2016 Was The Hottest Year. Yes, Greenhouse Gases Are To Blame",,web.archive.org,404,10051
52,Federal Wildlife And Land Managers Say They Fear For Their Safety - BuzzFeed News,,web.archive.org,404,10052
53,"We Talked To Mark Zuckerberg About Globalism, Protecting Users, And Fixing News - BuzzFeed News",,web.archive.org,404,10053
54,"People Can't Believe What Happened After This Guy Asked Domino's To Send Their ""Baddest Bitch"" - BuzzFeed News",,web.archive.org,404,10054
55,"Fighting To Raise The Minimum Wage Isn't Cheap, Union Spending Shows - BuzzFeed News",,web.archive.org,404,10055
56,Police Say They Have Foiled A Terror Plot In London After A Woman Was Shot By Officers - BuzzFeed News,,web.archive.org,404,10056
57,Always Dreaming Wins The 2017 Kentucky Derby - BuzzFeed News,,web.archive.org,404,10057
58,Now You Can Send Snaps That Last Forever - BuzzFeed News,,web.archive.org,404,10058
59,Conservative Republican Justin Amash Signs On To Bill For An Independent Russia Investigation - BuzzFeed News,,web.archive.org,404,10059
60,House Republicans Abruptly Abandon Effort To Gut Ethics Watchdog - BuzzFeed News,,web.archive.org,404,10060
61,Trump's Spokesman Keeps Referring To A Terrorist Attack On Atlanta That Didn't Happen - BuzzFeed News,,web.archive.org,404,10061
62,Congress Moves To Expand Drug Testing Of People Seeking Unemployment Benefits - BuzzFeed News,,web.archive.org,404,10062
63,Some GOP Senators Want To Wait Before Dismissing Trump's Wiretapping Claims - BuzzFeed News,,web.archive.org,404,10063
64,A Federal Judge Keeps Trump's Travel And Refugee Ban On Hold Indefinitely - BuzzFeed News,,web.archive.org,404,10064
65,Sally Yates Says She Warned The White House That Russia Could Have Blackmailed Flynn - BuzzFeed News,,web.archive.org,404,10065
66,Trump Lays Out A Nationalist Agenda For The Country Without Saying How It'll Be Paid For - BuzzFeed News,,web.archive.org,404,10066
67,Here’s Why There Won’t Be An Independent Investigation Into Russia Anytime Soon - BuzzFeed News,,web.archive.org,404,10067
68,The Republican-Democrat Divide Extends To Hats And Prepaid Cellphones - BuzzFeed News,,web.archive.org,404,10068
69,7 Self-Care Tips To Try This Week,,web.archive.org,404,10069
70,Ford Cancels $1.6 Billion Plan To Build New Factory In Mexico - BuzzFeed News,,web.archive.org,404,10070
71,This Is How Gay Republicans Partied After Donald Trump's Inauguration - BuzzFeed News,,web.archive.org,404,10071
72,This Mom Says Her Son Was Stamped On The Wrist Because He Ran Out Of Lunch Money - BuzzFeed News,,web.archive.org,404,10072
73,Utah Congressman Jason Chaffetz Will Not Seek Re-Election - BuzzFeed News,,web.archive.org,404,10073
74,Acting FBI Director Vows Not To Give The White House Updates On Its Russia Investigation - BuzzFeed News,,web.archive.org,404,10074
75,Comment les films d'horreur m'aident à combattre mes angoisses,,web.archive.org,404,10075
76,Here's Why Trump Takes The Blackout Doomsday Scenario Seriously - BuzzFeed News,,web.archive.org,404,10076
77,The White House Just Released Some Details On Trump's Tax Returns From 2005 - BuzzFeed News,,web.archive.org,404,10077
78,US Sanctions Mean Paying For Cuban Sandwiches On Venmo Is Complicated - BuzzFeed News,,web.archive.org,404,10078
79,The Year Of Bots Behaving Badly - BuzzFeed News,,web.archive.org,404,10079
80,"People Have Turned ""Get Out"" Into A Meme And It's Seriously Hilarious - BuzzFeed News",,web.archive.org,404,10080
81,People Are Blaming The Chicago Kidnapping On Black Lives Matter With Zero Evidence - BuzzFeed News,,web.archive.org,404,10081
82,What’s Up With David Beckham Casually Posing With Lotion - BuzzFeed News,,web.archive.org,404,10082
83,People's Perception Of United Airlines Has Hit A 10-Year Low - BuzzFeed News,,web.archive.org,404,10083
84,A Historic Blizzard Is Set To Hit The Northeast Because Things Aren't Rough Enough Already - BuzzFeed News,,web.archive.org,404,10084
85,Trump's First National Security Adviser Is In Even More Trouble Over His Russia Payments - BuzzFeed News,,web.archive.org,404,10085
86,Mexico's New Foreign Minister Is The Guy Who Arranged Trump's Mexico Trip - BuzzFeed News,,web.archive.org,404,10086
87,Peter Thiel Is Leading The Search For Trump's Top Antitrust Officials - BuzzFeed News,,web.archive.org,404,10087
88,"Now US Politicians Are Attacking Ocean Science, Too - BuzzFeed News",,web.archive.org,404,10088
89,Google Is Making It Easier To Translate India's Most Widely Used Languages - BuzzFeed News,,web.archive.org,404,10089
90,Police Are Searching For A Man Who Killed Someone In A Facebook Video - BuzzFeed News,,web.archive.org,404,10090
91,Mark Zuckerberg Says He's Not Running For President - BuzzFeed News,,web.archive.org,404,10091
92,So Blac Chyna Won't Be Able To Use The Name Angela Kardashian After All,,web.archive.org,404,10092
93,"Trump's ""Hire American"" Order Could Be Good News For Silicon Valley - BuzzFeed News",,web.archive.org,404,10093
94,Mass Arrests On Inauguration Day Swept Up Journalists And Legal Observers — And Their Phones - BuzzFeed News,,web.archive.org,404,10094
95,What A Gay College Student's Murder Can Teach Us About Hate In America Today - BuzzFeed News,,web.archive.org,404,10095
96,"""Moonlight"" Director Explains The Importance Of Diverse Storytelling",,web.archive.org,404,10096
97,Rising Democratic Star Says He Won’t Run Against Ted Cruz Next Year - BuzzFeed News,,web.archive.org,404,10097
98,"Faraday Future Plagued By Lawsuits, Unpaid Bills Ahead Of Electric Car Reveal - BuzzFeed News",,web.archive.org,404,10098
99,Trump Fires Acting Attorney General After She Orders Justice Lawyers Not To Defend Travel Ban - BuzzFeed News,,web.archive.org,404,10099
100,"Donald Trump Claims Jobs Data Was ""Phony In The Past"" But Is ""Very Real Now"" - BuzzFeed News",,web.archive.org,404,10100
101,Justice Department Says No To Funding Vote On Puerto Rican Statehood - BuzzFeed News,,web.archive.org,404,10101
102,United Airlines Has Settled With The Man Who Was Violently Dragged Off A Plane - BuzzFeed News,,web.archive.org,404,10102
103,Some Uber Customers Will Pay More So Drivers Can Buy Injury Insurance - BuzzFeed News,,web.archive.org,404,10103
104,People Are Pissed At Vanity Fair Mexico For Featuring Melania Trump On Their Cover - BuzzFeed News,,web.archive.org,404,10104
105,Trump Organization Settles Lawsuit With Celebrity Chef José Andrés - BuzzFeed News,,web.archive.org,404,10105
106,The Man Who Taught Donald Trump To Pit Gay People Against Immigrants - BuzzFeed News,,web.archive.org,404,10106
107,The Senate Intelligence Committee Found Itself Shaken With One Phone Call - BuzzFeed News,,web.archive.org,404,10107
108,People Can't Believe Trump Is Feuding With Civil Rights Leader John Lewis - BuzzFeed News,,web.archive.org,404,10108
109,"15,000 Afghans Applied For Interpreter Visas. There Are Only 1,500 Visas Left - BuzzFeed News",,web.archive.org,404,10109
110,This Fake Magazine Cover Made It Onto President Trump's Desk - BuzzFeed News,,web.archive.org,404,10110
111,Tom Price Defends Trump Proposal To Cut Funding To Public Health And Research - BuzzFeed News,,web.archive.org,404,10111
112,What The Hell Is Happening With The Electronic Devices Ban On Flights From The Middle East - BuzzFeed News,,web.archive.org,404,10112
113,Amal And George Clooney Are Expecting Twins - BuzzFeed News,,web.archive.org,404,10113
114,"Google Okays Staff Protesting May 1, Asks Vendors To Do The Same - BuzzFeed News",,web.archive.org,404,10114
115,Rex Tillerson May Have Held Millions In ExxonMobil Stock As Trump Promoted The Oil Giant - BuzzFeed News,,web.archive.org,404,10115
116,An Off-Duty Police Officer Opened Fire While Fighting Teenagers On His Lawn - BuzzFeed News,,web.archive.org,404,10116
117,CNN Is Considering Skipping White House Correspondents' Dinner - BuzzFeed News,,web.archive.org,404,10117
118,A Man Tackled The Confederate Flag During A Protest On Live TV - BuzzFeed News,,web.archive.org,404,10118
119,"The Diminishing Returns Of ""Guardians Of The Galaxy Vol. 2""",,web.archive.org,404,10119
120,Your Apple Watch Could Someday Detect This Risky Heart Condition - BuzzFeed News,,web.archive.org,404,10120
121,Seattle's Mayor Won't Seek Reelection After Claims He Sexually Abused Teens - BuzzFeed News,,web.archive.org,404,10121
122,These Devout Christians Are Using The Bible To Argue That Pot Is God’s “Perfect Medicine”,,web.archive.org,404,10122
123,Obama Says He Won't Stay Silent If Trump Pushes Discrimination - BuzzFeed News,,web.archive.org,404,10123
124,The Tools Of The Viral Anti-Trump Movement Will Be Used Against It - BuzzFeed News,,web.archive.org,404,10124
125,"The Brexit Bill Passed, And MPs Made The ""Shameful"" Decision Not To Protect EU Citizens - BuzzFeed News",,web.archive.org,404,10125
126,North Carolina Repeals Some Anti-LGBT Rules While Leaving Others Intact - BuzzFeed News,,web.archive.org,404,10126
127,Here's What The British Public Want From Brexit - BuzzFeed News,,web.archive.org,404,10127
